Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
White Only,American Indian,0.8834545454545455,0.4497247174731962,0.7000451059990979,0.547635850388144,"[[17884  1899]
 [  665  1552]]",1.0
All Races,American Indian,0.859,0.39251882438668934,0.7289129454217411,0.510262077676034,"[[17282  2501]
 [  601  1616]]",1.0
White Only,Asian,0.9137727272727273,0.5150829562594268,0.6909458775923116,0.5901922661481961,"[[18737  1286]
 [  611  1366]]",1.0
All Races,Asian,0.8922727272727272,0.43857455454829636,0.7096611026808295,0.5421174652241112,"[[18227  1796]
 [  574  1403]]",1.0
White Only,Black,0.9178636363636363,0.6830804466075007,0.7731691510045366,0.7253381972944216,"[[17807  1107]
 [  700  2386]]",1.0
All Races,Black,0.8897727272727273,0.5775639521239145,0.7974724562540505,0.669933306111338,"[[17114  1800]
 [  625  2461]]",1.0
White Only,Hawaiian/Other,0.9145454545454546,0.5698994485890366,0.7602769363911727,0.6514645902855024,"[[18363  1326]
 [  554  1757]]",1.0
All Races,Hawaiian/Other,0.8955454545454545,0.5018141222439296,0.7780181739506707,0.6101119782829997,"[[17904  1785]
 [  513  1798]]",1.0
White Only,White,0.8624090909090909,0.5680885972108285,0.750474126253048,0.6466674448465041,"[[16203  2106]
 [  921  2770]]",1.0
All Races,White,0.8543181818181819,0.5473499610288387,0.7610403684638309,0.6367448713589482,"[[15986  2323]
 [  882  2809]]",1.0
White Only,American Indian,0.6917272727272727,0.22733245729303547,0.8583671628326568,0.359463543634303,"[[13315  6468]
 [  314  1903]]",2.0
All Races,American Indian,0.7015454545454546,0.2339410253272972,0.8624267027514659,0.36804619826756496,"[[13522  6261]
 [  305  1912]]",2.0
White Only,Asian,0.7941363636363636,0.27511455763130066,0.7895801719777441,0.4080512351326624,"[[15910  4113]
 [  416  1561]]",2.0
All Races,Asian,0.7959090909090909,0.27819947043248017,0.7971674253920081,0.41245747186600373,"[[15934  4089]
 [  401  1576]]",2.0
White Only,Black,0.7420454545454546,0.3382885696439725,0.8775113415424498,0.48832386619781804,"[[13617  5297]
 [  378  2708]]",2.0
All Races,Black,0.7504090909090909,0.3458530957569542,0.8742709008425146,0.49563699825479923,"[[13811  5103]
 [  388  2698]]",2.0
White Only,Hawaiian/Other,0.7689090909090909,0.2967306846503445,0.8758113370835137,0.4432763907139728,"[[14892  4797]
 [  287  2024]]",2.0
