Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
White Only,American Indian,0.8915,0.4731522425773847,0.6756878664862427,0.5565669700910273,"[[18115  1668]
 [  719  1498]]",1.0
All Races,American Indian,0.8801363636363636,0.4398969662278191,0.6932792061344158,0.5382594992120469,"[[17826  1957]
 [  680  1537]]",1.0
White Only,Asian,0.9287272727272727,0.5911725367810967,0.6707132018209409,0.6284360189573459,"[[19106   917]
 [  651  1326]]",1.0
All Races,Asian,0.9245454545454546,0.5675330208777163,0.6737481031866465,0.6160962072155413,"[[19008  1015]
 [  645  1332]]",1.0
White Only,Black,0.9245454545454546,0.7171132764920828,0.7631237848347375,0.739403453689168,"[[17985   929]
 [  731  2355]]",1.0
All Races,Black,0.9034090909090909,0.624,0.7835385612443292,0.694727768998707,"[[17457  1457]
 [  668  2418]]",1.0
White Only,Hawaiian/Other,0.9238181818181819,0.6115992970123023,0.7529208135006491,0.6749418153607448,"[[18584  1105]
 [  571  1740]]",1.0
All Races,Hawaiian/Other,0.918409090909091,0.5869858395144977,0.7533535266118564,0.6598446086791738,"[[18464  1225]
 [  570  1741]]",1.0
White Only,White,0.8682272727272727,0.5844349680170575,0.7426171769168247,0.654098556258203,"[[16360  1949]
 [  950  2741]]",1.0
All Races,White,0.8738636363636364,0.6016873889875666,0.7342183690056895,0.661378889566809,"[[16515  1794]
 [  981  2710]]",1.0
White Only,American Indian,0.6616363636363637,0.2121379006498513,0.8687415426251691,0.3410056657223796,"[[12630  7153]
 [  291  1926]]",2.0
All Races,American Indian,0.6891363636363637,0.225664767331434,0.8574650428506991,0.35729724649938915,"[[13260  6523]
 [  316  1901]]",2.0
White Only,Asian,0.8115909090909091,0.29169869331283627,0.7678300455235205,0.4227823422921599,"[[16337  3686]
 [  459  1518]]",2.0
All Races,Asian,0.823,0.3074141048824593,0.7738998482549317,0.4400345125107852,"[[16576  3447]
 [  447  1530]]",2.0
White Only,Black,0.7058636363636364,0.30886504799548276,0.8862605314322748,0.458085587471736,"[[12794  6120]
 [  351  2735]]",2.0
All Races,Black,0.7305454545454545,0.32696054554310766,0.8700583279325989,0.47530536378120025,"[[13387  5527]
 [  401  2685]]",2.0
White Only,Hawaiian/Other,0.7549090909090909,0.28330285553523704,0.8714842059714409,0.42760084925690023,"[[14594  5095]
 [  297  2014]]",2.0
All Races,Hawaiian/Other,0.7727727272727273,0.29874213836477986,0.8632626568585028,0.44387584825898324,"[[15006  4683]
 [  316  1995]]",2.0
White Only,White,0.6783636363636364,0.32898858239870665,0.8821457599566513,0.4792463938769502,"[[11668  6641]
 [  435  3256]]",2.0
All Races,White,0.7006818181818182,0.3453729429365249,0.875643457057708,0.4953636293968886,"[[12183  6126]
 [  459  3232]]",2.0
White Only,American Indian,0.9501818181818181,0.9912357581069238,0.510148849797023,0.673615247170935,"[[19773    10]
 [ 1086  1131]]",4.0
All Races,American Indian,0.949,0.9675491033304867,0.5110509697789806,0.6688311688311688,"[[19745    38]
 [ 1084  1133]]",4.0
White Only,Asian,0.9644545454545455,0.9991645781119465,0.6049570055639858,0.7536231884057971,"[[20022     1]
 [  781  1196]]",4.0
All Races,Asian,0.9641818181818181,0.9933609958506224,0.6054628224582701,0.7523570081709616,"[[20015     8]
 [  780  1197]]",4.0
White Only,Black,0.9574090909090909,0.9967637540453075,0.6986390149060272,0.8214898075823966,"[[18907     7]
 [  930  2156]]",4.0
All Races,Black,0.9569090909090909,0.9908172635445363,0.6992871030460143,0.8199088145896656,"[[18894    20]
 [  928  2158]]",4.0
White Only,Hawaiian/Other,0.9641363636363637,0.9980366492146597,0.6598874945910861,0.7944777285751498,"[[19686     3]
 [  786  1525]]",4.0
All Races,Hawaiian/Other,0.9635454545454546,0.9889825016202204,0.6603202077022934,0.7919045147898289,"[[19672    17]
 [  785  1526]]",4.0
White Only,White,0.9252727272727272,0.9961221522055259,0.5567596857220265,0.7142857142857143,"[[18301     8]
 [ 1636  2055]]",4.0
All Races,White,0.9251363636363636,0.9880611270296084,0.5605526957464102,0.7152981849611064,"[[18284    25]
 [ 1622  2069]]",4.0
White Only,American Indian,0.9071818181818182,0.5335120643431636,0.6283265674334686,0.5770505385252691,"[[18565  1218]
 [  824  1393]]",5.0
All Races,American Indian,0.9003181818181818,0.5042826552462527,0.6373477672530447,0.5630603705917513,"[[18394  1389]
 [  804  1413]]",5.0
White Only,Asian,0.9082727272727272,0.49250457038391227,0.6813353566009105,0.5717317487266553,"[[18635  1388]
 [  630  1347]]",5.0
All Races,Asian,0.916,0.525343811394892,0.6762771876580678,0.5913312693498453,"[[18815  1208]
 [  640  1337]]",5.0
White Only,Black,0.9310909090909091,0.7587343441001978,0.745949449125081,0.7522875816993464,"[[18182   732]
 [  784  2302]]",5.0
All Races,Black,0.9199545454545455,0.6933177706448789,0.7699287103046014,0.72961768770152,"[[17863  1051]
 [  710  2376]]",5.0
White Only,Hawaiian/Other,0.9259090909090909,0.6263450834879406,0.730419731717871,0.6743907311226528,"[[18682  1007]
 [  623  1688]]",5.0
All Races,Hawaiian/Other,0.9226818181818182,0.608540925266904,0.7399394201644309,0.6678383128295254,"[[18589  1100]
 [  601  1710]]",5.0
White Only,White,0.8727272727272727,0.6025788625374165,0.7090219452722839,0.6514812048792632,"[[16583  1726]
 [ 1074  2617]]",5.0
All Races,White,0.8789545454545454,0.6220902612826603,0.7095638038471959,0.6629540564485509,"[[16718  1591]
 [ 1072  2619]]",5.0
White Only,American Indian,0.9275454545454546,0.6538271604938272,0.5972034280559314,0.6242338519566242,"[[19082   701]
 [  893  1324]]",6.0
All Races,American Indian,0.9113181818181818,0.5525276461295419,0.6310329273793415,0.5891766687723731,"[[18650  1133]
 [  818  1399]]",6.0
White Only,Asian,0.9489545454545455,0.7468208092485549,0.6535154274152757,0.6970596169409226,"[[19585   438]
 [  685  1292]]",6.0
All Races,Asian,0.9409090909090909,0.6726160122386537,0.6671724835609509,0.669883189436262,"[[19381   642]
 [  658  1319]]",6.0
White Only,Black,0.9347727272727273,0.7863336801942421,0.7346079066753078,0.7595912213101023,"[[18298   616]
 [  819  2267]]",6.0
All Races,Black,0.9167727272727273,0.6852671981104222,0.7521062864549579,0.7171327050826509,"[[17848  1066]
 [  765  2321]]",6.0
White Only,Hawaiian/Other,0.9496818181818182,0.7942326490713587,0.7031588057118131,0.7459260959375718,"[[19268   421]
 [  686  1625]]",6.0
